User power,User gain,"Power
pads",,LNA1,LNA2,OTX-RF1 DSA,OTX-OPT DSA,ORX-OPT DSA
-62,40,32,16,,,Ask,Ask,Ask
56,-78,32,16,Off,Off,0,15,15
55,-77,32,16,Off,Off,0,14,15
54,-76,32,16,Off,Off,0,13,15
53,-75,32,16,Off,Off,0,12,15
52,-74,32,16,Off,Off,0,11,15
51,-73,32,16,Off,Off,0,10,15
50,-72,32,16,Off,Off,0,9,15
49,-71,32,16,Off,Off,0,8,15
48,-70,32,16,Off,Off,0,7,15
47,-69,32,16,Off,Off,0,6,15
46,-68,32,16,Off,Off,0,5,15
45,-67,32,16,Off,Off,0,4,15
44,-66,32,16,Off,Off,0,3,15
43,-65,32,16,Off,Off,0,2,15
42,-64,32,16,Off,Off,0,1,15
41,-63,32,16,Off,Off,0,0,15
40,-62,32,16,Off,Off,0,0,14
39,-61,32,16,Off,Off,0,0,13
38,-60,32,16,Off,Off,0,0,12
37,-59,32,16,Off,Off,0,0,11
36,-58,32,16,Off,Off,0,0,10
35,-57,32,16,Off,Off,0,0,9
34,-56,32,16,Off,Off,0,0,8
33,-55,32,16,Off,Off,0,0,7
32,-54,32,16,Off,Off,0,0,6
31,-53,32,16,Off,Off,0,0,5
30,-52,32,16,Off,Off,0,0,4
29,-51,32,16,Off,Off,0,0,3
28,-50,32,16,Off,Off,0,0,2
27,-49,32,16,Off,Off,0,0,1
26,-48,32,16,Off,Off,0,0,0
25,-47,32,0,Off,Off,0,0,15
24,-46,32,0,Off,Off,0,0,14
23,-45,32,0,Off,Off,0,0,13
22,-44,32,0,Off,Off,0,0,12
21,-43,32,0,Off,Off,0,0,11
20,-42,32,0,Off,Off,0,0,10
19,-41,32,0,Off,Off,0,0,9
18,-40,32,0,Off,Off,0,0,8
17,-39,32,0,Off,Off,0,0,7
16,-38,32,0,Off,Off,0,0,6
15,-37,32,0,Off,Off,0,0,5
14,-36,32,0,Off,Off,0,0,4
13,-35,32,0,Off,Off,0,0,3
12,-34,32,0,Off,Off,0,0,2
11,-33,32,0,Off,Off,0,0,1
10,-32,32,0,Off,Off,0,0,0
9,-31,0,16,Off,Off,0,0,15
8,-30,0,16,Off,Off,0,0,14
7,-29,0,16,Off,Off,0,0,13
6,-28,0,16,Off,Off,0,0,12
5,-27,0,16,Off,Off,0,0,11
4,-26,0,16,Off,Off,0,0,10
3,-25,0,16,Off,Off,0,0,9
2,-24,0,16,Off,Off,0,0,8
1,-23,0,16,Off,Off,0,0,7
0,-22,0,16,Off,Off,0,0,6
-1,-21,0,16,Off,Off,0,0,5
-2,-20,0,16,Off,Off,0,0,4
-3,-19,0,16,Off,Off,0,0,3
-4,-18,0,16,Off,Off,0,0,2
-5,-17,0,16,Off,Off,0,0,1
-6,-16,0,16,Off,Off,0,0,0
-7,-15,0,0,Off,Off,0,0,15
-8,-14,0,0,Off,Off,0,0,14
-9,-13,0,0,Off,Off,0,0,13
-10,-12,0,0,Off,Off,0,0,12
-11,-11,0,0,Off,Off,0,0,11
-12,-10,0,0,Off,Off,0,0,10
-13,-9,0,0,Off,Off,0,0,9
-14,-8,0,0,Off,Off,0,0,8
-15,-7,0,0,Off,Off,0,0,7
-16,-6,0,0,Off,Off,0,0,6
-17,-5,0,0,Off,Off,0,0,5
-18,-4,0,0,Off,Off,0,0,4
-19,-3,0,0,Off,Off,0,0,3
-20,-2,0,0,Off,Off,0,0,2
-21,-1,0,0,Off,Off,0,0,1
-22,0,0,0,Off,Off,0,0,0
-23,1,0,0,On,On,15,15,9
-24,2,0,0,On,On,15,15,8
-25,3,0,0,On,On,15,15,7
-26,4,0,0,On,On,15,15,6
-27,5,0,0,On,On,15,15,5
-28,6,0,0,On,On,15,15,4
-29,7,0,0,On,On,15,15,3
-30,8,0,0,On,On,15,15,2
-31,9,0,0,On,On,15,15,1
-32,10,0,0,On,On,15,15,0
-33,11,0,0,On,On,15,14,0
-34,12,0,0,On,On,15,13,0
-35,13,0,0,On,On,15,12,0
-36,14,0,0,On,On,15,11,0
-37,15,0,0,On,On,15,10,0
-38,16,0,0,On,On,15,9,0
-39,17,0,0,On,On,15,8,0
-40,18,0,0,On,On,15,7,0
-41,19,0,0,On,On,15,6,0
-42,20,0,0,On,On,15,5,0
-43,21,0,0,On,On,15,4,0
-44,22,0,0,On,On,15,3,0
-45,23,0,0,On,On,15,2,0
-46,24,0,0,On,On,15,1,0
-47,25,0,0,On,On,15,0,0
-48,26,0,0,On,On,14,0,0
-49,27,0,0,On,On,13,0,0
-50,28,0,0,On,On,12,0,0
-51,29,0,0,On,On,11,0,0
-52,30,0,0,On,On,10,0,0
-53,31,0,0,On,On,9,0,0
-54,32,0,0,On,On,8,0,0
-55,33,0,0,On,On,7,0,0
-56,34,0,0,On,On,6,0,0
-57,35,0,0,On,On,5,0,0
-58,36,0,0,On,On,4,0,0
-59,37,0,0,On,On,3,0,0
-60,38,0,0,On,On,2,0,0
-61,39,0,0,On,On,1,0,0
-62,40,0,0,On,On,0,0,0
